Time 07:00, Leo (Lion), Howler (Monkey), Distance 0.0
Time 12:00, Stripes (Tiger), Bessie (Cow), Distance 1.0
Time 05:00, Stripes (Tiger), JumboJet (Elephant), Distance 1.4142135623730951
Time 12:00, Stripes (Tiger), Necky (Giraffe), Distance 0.0
Time 07:00, Slither (Snake), Stripey (Zebra), Distance 0.0
Time 04:00, Chomp (Crocodile), Cloud (Giraffe), Distance 2.0
Time 20:00, Shadow (Panther), Stretch (Giraffe), Distance 1.4142135623730951
Time 11:00, Shadow (Panther), Daisy (Cow), Distance 1.4142135623730951
Time 04:00, Simba (Lion), Swing (Monkey), Distance 1.4142135623730951
Time 03:00, Blaze (Tiger), Bell (Cow), Distance 2.0
Time 10:00, Blaze (Tiger), Strider (Zebra), Distance 1.4142135623730951
Time 12:00, Coil (Snake), Cross (Zebra), Distance 1.0
Time 17:00, Coil (Snake), Canopy (Giraffe), Distance 0.0
Time 09:00, Snap (Crocodile), Dash (Zebra), Distance 1.0
Time 10:00, Snap (Crocodile), Racer (Zebra), Distance 1.4142135623730951
Time 18:00, Snap (Crocodile), Bell (Cow), Distance 1.4142135623730951
Time 20:00, Snap (Crocodile), Meadow (Cow), Distance 1.4142135623730951
Time 20:00, Snap (Crocodile), Necky (Giraffe), Distance 1.0
Time 06:00, Midnight (Panther), Boulder (Elephant), Distance 1.4142135623730951
Time 10:00, Midnight (Panther), Cross (Zebra), Distance 1.0
Time 16:00, Roar (Lion), Mammoth (Elephant), Distance 2.0
Time 07:00, Roar (Lion), Cloud (Giraffe), Distance 1.4142135623730951
Time 01:00, Roar (Lion), Strider (Zebra), Distance 1.4142135623730951
Time 09:00, Fang (Tiger), Zigzag (Zebra), Distance 1.0
Time 09:00, Fang (Tiger), Buttercup (Cow), Distance 1.0
Time 21:00, Fang (Tiger), Bell (Cow), Distance 1.4142135623730951
Time 01:00, Paws (Bear), Stripey (Zebra), Distance 1.4142135623730951
Time 00:00, Viper (Snake), Rarity (Zebra), Distance 1.4142135623730951
Time 06:00, Viper (Snake), Gibber (Monkey), Distance 1.4142135623730951
Time 16:00, Lagoon (Crocodile), Stretch (Giraffe), Distance 1.0
Time 21:00, Lagoon (Crocodile), Swinger (Monkey), Distance 1.4142135623730951
Time 08:00, Lagoon (Crocodile), Lily (Cow), Distance 0.0
Time 21:00, Pride (Lion), Clover (Cow), Distance 0.0
Time 04:00, Ember (Tiger), Daisy (Cow), Distance 2.0
Time 01:00, Ember (Tiger), Clover (Cow), Distance 1.4142135623730951
Time 07:00, Ember (Tiger), Tusker (Elephant), Distance 1.4142135623730951
Time 01:00, Ember (Tiger), Necky (Giraffe), Distance 1.4142135623730951
Time 05:00, Serpent (Snake), Stretch (Giraffe), Distance 0.0
Time 19:00, Serpent (Snake), Swing (Monkey), Distance 1.0
Time 08:00, King (Lion), Titan (Elephant), Distance 2.0
Time 18:00, Bengal (Tiger), Dash (Zebra), Distance 2.0
Time 21:00, Bengal (Tiger), Heights (Giraffe), Distance 0.0
Time 22:00, Bengal (Tiger), Strider (Zebra), Distance 2.0
Time 17:00, Hiss (Snake), Daisy (Cow), Distance 1.0
Time 00:00, Marsh (Crocodile), Swing (Monkey), Distance 1.0
Time 23:00, Prowler (Panther), Titan (Elephant), Distance 1.4142135623730951
Time 17:00, Prowler (Panther), Spot (Giraffe), Distance 2.0
Time 18:00, Striker (Tiger), Rarity (Zebra), Distance 1.0
